birthmark,comparator,matcher,file1,file2,result
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.spi.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodecFactory,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.spi.services.AiServicesFactory,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.V,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.UserName,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.UserMessage,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.TokenStream,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.SystemMessage,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.OnStart,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.OnError,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.OnCompleteOrOnError,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.Moderate,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.service.MemoryId,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.memory.chat.TokenWindowChatMemory$1,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.memory.chat.MessageWindowChatMemory$1,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.memory.chat.ChatMemoryProvider,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.data.document.S3FileLoader$1,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.data.document.S3DirectoryLoader$1,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.data.document.transformer.HtmlTextExtractor$1,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.classification.EmbeddingModelTextClassifier$1,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.chain.ConversationalChain$1,1.0
3-gram,JaccardIndex,RoundRobin,PrintFormToWriter,dev.langchain4j.agent.tool.ToolExecutor,1.0
3-gram,JaccardIndex,RoundRobin,DocumentAdapter,dev.langchain4j.service.AiServiceContext,0.3157894736842105
3-gram,JaccardIndex,RoundRobin,DocumentAdapter,dev.langchain4j.code.Judge0JavaScriptEngine$Submission,0.2727272727272727
3-gram,JaccardIndex,RoundRobin,ArrayCharSequence,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,0.3076923076923077